name, vector
sexualité, 1000000000000
anatomie, 0100000000000
violence, 0010000000000
reproduction, 0001000000000
maladie, 0000100000000
psychologie, 0000010000000
relation, 0000001000000 
travail , 0000000100000
pornographie, 0000000010000 
orientation sexuelle, 0000000001000
genre, 0000000000100
géographie, 0000000000010
plaisir, 0000000000001
relations sexuelles,1000001000000
relations sexuelles, 1000001000000
mutilations génitales, 0110000000000
prostitution, 1000001100000
orgasme, 0000000000001
masturbation, 1000000000001
orgasme féminin, 0000000000101
infections sexuellement transmissibles, 1000101000000
sexologie ; fantasmes sexuels, 1000010000000
couple ; amour ; relations amoureuses, 0000010000001
sexualité féminine ; sexualité masculine, 1000000000100
femmes; hommes, 0000000000100
homosexualité ; homosexualité masculine ; lesbianisme, 0000000001000
relations hommes-femmes, 0000001000100
guides touristiques et de visite, 1000000000010
clubs ; sauna, 0000000000011
maisons de prostitution ; quartiers de la prostitution, 1000001100010
troubles sexuels, 1000100000000
troubles sexuels, 1000110000000
organes génitaux, 1100000000000
séduction, 0000001000001
sexualité (biologie), 1000001000000
